"UF","Código.UF","PIB","POP"
"RO",11,17285541.726,1493566
"AC",12,6410254.679,680073
"AM",13,48115264.642,3341096
"RR",14,4841862.423,412783
"PA",15,60956978.23,7321493
"AP",16,6950413.077,613164
"TO",17,12116393.284,1280509
"MA",21,37932402.171,6305539
"PI",22,16203339.851,3119697
"CE",23,60415573.677,8450527
"RN",24,28898860.488,3106430
"PB",25,26889573.077,3742606
"PE",26,70413938.532,8734194
"AL",27,22262294.595,3127557
"SE",28,21418377.992,1999374
"BA",29,121667454.632,14502575
"MG",31,278607619.382,19850072
"ES",32,72091158.093,3453648
"RJ",33,378285800.361,15872362
"SP",35,1042510167.993,41011635
"PR",41,185683858.664,10590169
"SC",42,121477257.843,6052587
"RS",43,190229822.434,10855214
"MS",50,36219263.036,2336058
"MT",51,49202505.249,2957732
"GO",52,82417563.803,5844996
"DF",53,110299557.1,2557158
