COD_MUN_IBGE,NOME_MUNICIPIO,PIB,POP
1100015,Alta Floresta D'Oeste,115784.863,27058
1100023,Ariquemes,307935.4711,77143
1100031,Cabixi,24357.179,7497
1100049,Cacoal,315197.3951,74175
1100056,Cerejeiras,62439.17,17996
1100064,Colorado do Oeste,63054.16201,21138
1100072,Corumbiara,40684.96699,10236
1100080,Costa Marques,21257.66801,9735
1100098,Espigão D'Oeste,105680.283,26086
1100106,Guajará-Mirim,115124.796,38903
1100114,Jaru,185976.974,54162
1100122,Ji-Paraná,449753.6971,108214
1100130,Machadinho D'Oeste,62826.04401,24221
1100148,Nova Brasilândia D'Oeste,55626.20001,17266
1100155,Ouro Preto do Oeste,233490.7051,40852
1100189,Pimenta Bueno,112308.982,31680
1100205,Porto Velho,1335087.925,344503
1100254,Presidente Médici,74905.709,26141
1100262,Rio Crespo,13147.815,3079
1100288,Rolim de Moura,165841.801,47919
1100296,Santa Luzia D'Oeste,33311.916,11489
1100304,Vilhena,309732.0321,56193
1100320,São Miguel do Guaporé,59771.611,25431
1100338,Nova Mamoré,34662.52801,15961
1100346,Alvorada D'Oeste,51499.44901,19770
1100379,Alto Alegre dos Parecis,30831.823,13292
1100403,Alto Paraíso,37373.792,13839
1100452,Buritis,47537.24302,29291
1100502,Novo Horizonte do Oeste,28515.102,12412
1100601,Cacaulândia,20398.762,5392
1100700,Campo Novo de Rondônia,26129.67701,12984
1100809,Candeias do Jamari,39704.16702,14008
1100908,Castanheiras,14299.662,4186
1100924,Chupinguaia,19287.44601,5761
1100940,Cujubim,19470.088,7110
1101005,Governador Jorge Teixeira,28677.16901,14734
1101104,Itapuã do Oeste,19920.25401,7221
1101203,Ministro Andreazza,30699.777,11317
1101302,Mirante da Serra,36336.328,13366
1101401,Monte Negro,31055.74701,13531
1101435,Nova União,20349.577,8508
1101450,Parecis,14407.795,3533
1101468,Pimenteiras do Oeste,10359.925,2550
1101476,Primavera de Rondônia,13890.428,4328
1101484,São Felipe D'Oeste,17675.594,7101
1101492,São Francisco do Guaporé,29133.91501,13236
1101500,Seringueiras,27040.69001,12659
1101559,Teixeirópolis,13759.035,5677
1101609,Theobroma,22141.22401,11817
1101708,Urupá,34782.30501,15492
1101757,Vale do Anari,17648.714,8423
1101807,Vale do Paraíso,22458.85901,9986
1200013,Acrelândia,15493.53009,7687
1200054,Assis Brasil,7054.445035,3432
1200104,Brasiléia,36947.07421,16709
1200138,Bujari,12931.69608,5560
1200179,Capixaba,10505.88907,4915
1200203,Cruzeiro do Sul,122786.8166,65467
1200252,Epitaciolândia,22843.83813,10666
1200302,Feijó,44720.30224,25822
1200328,Jordão,7910.615044,4429
1200336,Mâncio Lima,17987.84209,10768
1200344,Manoel Urbano,11001.20805,6201
1200351,Marechal Thaumaturgo,14974.01808,8273
1200385,Plácido de Castro,29808.49517,14892
1200393,Porto Walter,9720.963051,5582
1200401,Rio Branco,988792.5029,246042
1200427,Rodrigues Alves,15517.70509,7947
1200435,Santa Rosa do Purus,4139.84102,2088
1200450,Senador Guiomard,36220.30021,19300
1200500,Sena Madureira,57028.08331,28895
1200609,Tarauacá,45434.62923,25777
1200708,Xapuri,23168.56813,11825
1200807,Porto Acre,22206.73916,11190
1300029,Alvarães,17260.60788,11853
1300060,Amaturá,9250.312938,7099
1300086,Anamã,11062.61593,6519
1300102,Anori,16295.73987,11131
1300144,Apuí,27894.63683,13204
1300201,Atalaia do Norte,11227.71392,9882
1300300,Autazes,60460.47564,23758
1300409,Barcelos,33782.37778,23129
1300508,Barreirinha,28179.48982,22071
1300607,Benjamin Constant,37395.97774,22821
1300631,Beruri,19353.55088,10746
1300680,Boa Vista do Ramos,13736.9059,10240
1300706,Boca do Acre,52130.24569,26800
1300805,Borba,32717.39576,27694
1300839,Caapiranga,10188.68793,8643
1300904,Canutama,13379.2269,10852
1301001,Carauari,48648.17278,23086
1301100,Careiro,45618.27472,27900
1301159,Careiro da Várzea,56120.18777,17340
1301209,Coari,412247.4445,64789
1301308,Codajás,24166.27382,17179
1301407,Eirunepé,44397.28371,25611
1301506,Envira,28324.9748,18839
1301605,Fonte Boa,33685.03676,28021
1301654,Guajará,15894.37689,13080
1301704,Humaitá,80533.32054,33283
1301803,Ipixuna,17051.98788,14345
1301852,Iranduba,75549.58365,31213
1301902,Itacoatiara,169253.8591,71022
1301951,Itamarati,14744.28789,8461
1302009,Itapiranga,12638.21991,7133
1302108,Japurá,12020.9399,12590
1302207,Juruá,9599.247928,6459
1302306,Jutaí,26607.6368,21882
1302405,Lábrea,42426.8577,29288
1302504,Manacapuru,134983.5252,72354
1302553,Manaquiri,18634.51487,12549
1302603,Manaus,12941800.04,1373827
1302702,Manicoré,59082.78265,38023
1302801,Maraã,14524.78489,16654
1302900,Maués,55284.63563,39262
1303007,Nhamundá,22630.51684,15184
1303106,Nova Olinda do Norte,28519.78278,22850
1303205,Novo Airão,14858.15489,10006
1303304,Novo Aripuanã,31227.04681,16674
1303403,Parintins,161216.631,87604
1303502,Pauini,17879.75487,17088
1303536,Presidente Figueiredo,51447.77074,16558
1303569,Rio Preto da Eva,35370.36479,16684
1303601,Santa Isabel do Rio Negro,23016.71783,10955
1303700,Santo Antônio do Içá,25751.91379,27320
1303809,São Gabriel da Cachoeira,36862.31773,29395
1303908,São Paulo de Olivença,23048.50782,22343
1303957,São Sebastião do Uatumã,12299.92191,6947
1304005,Silves,14234.68893,7616
1304062,Tabatinga,65449.27757,37108
1304104,Tapauá,20779.23984,20984
1304203,Tefé,109053.2353,63606
1304237,Tonantins,13893.59989,15067
1304260,Uarini,9923.487929,9861
1304302,Urucará,29616.65285,17800
1304401,Urucurituba,19543.72587,12703
1400027,Amajari,8193.010008,5262
1400050,Alto Alegre,26538.34703,17739
1400100,Boa Vista,602164.923,198905
1400159,Bonfim,15574.24902,9194
1400175,Cantá,13899.38202,8495
1400209,Caracaraí,33542.85784,14148
1400233,Caroebe,9316.340008,5685
1400282,Iracema,8032.683009,4730
1400308,Mucajaí,20676.64502,11231
1400407,Normandia,10472.88601,6170
1400456,Pacaraima,16244.00501,6941
1400472,Rorainópolis,26425.08803,17104
1400506,São João da Baliza,10352.56501,5077
1400605,São Luiz,9344.10301,5264
1400704,Uiramutã,6415.20901,5777
1500107,Abaetetuba,117880.9888,118539
1500131,Abel Figueiredo,23401.54607,5906
1500206,Acará,99851.31213,51648
1500305,Afuá,64182.31018,29201
1500347,Água Azul do Norte,66700.43756,21597
1500404,Alenquer,72168.80084,41874
1500503,Almeirim,328491.6875,33941
1500602,Altamira,302968.256,77084
1500701,Anajás,20374.83713,18193
1500800,Ananindeua,861237.0328,389046
1500859,Anapu,22612.8986,9536
1500909,Augusto Corrêa,35612.40773,32925
1500958,Aurora do Pará,49348.12732,19492
1501006,Aveiro,15061.69215,15370
1501105,Bagre,19640.8118,13712
1501204,Baião,60746.57025,21086
1501253,Bannach,48707.86547,3799
1501303,Barcarena,778123.1539,62714
1501402,Belém,4653598.157,1274222
1501451,Belterra,19380.28469,14461
1501501,Benevides,68514.3038,35103
1501576,Bom Jesus do Tocantins,32331.43966,13057
1501600,Bonito,11410.70479,9773
1501709,Bragança,102946.4689,93348
1501725,Brasil Novo,53447.77694,17012
1501758,Brejo Grande do Araguaia,19752.89829,7430
1501782,Breu Branco,92348.11764,31849
1501808,Breves,85217.47636,79902
1501907,Bujaru,24671.31927,20811
1501956,Cachoeira do Piriá,36142.44369,15207
1502004,Cachoeira do Arari,31549.466,15702
1502103,Cametá,93650.32922,97226
1502152,Canaã dos Carajás,44998.7183,10794
1502202,Capanema,149453.6932,56929
1502301,Capitão Poço,67139.65515,49631
1502400,Castanhal,329020.2365,133459
1502509,Chaves,44569.60786,17352
1502608,Colares,10976.47233,10559
1502707,Conceição do Araguaia,137220.2742,43343
1502756,Concórdia do Pará,32499.46127,20773
1502764,Cumaru do Norte,39153.55271,5968
1502772,Curionópolis,46364.69314,19733
1502806,Curralinho,15008.65127,19862
1502855,Curuá,11481.59485,9193
1502905,Curuçá,28613.26728,25979
1502939,Dom Eliseu,120591.9537,39044
1502954,Eldorado dos Carajás,40108.64919,29028
1503002,Faro,8500.628469,9820
1503044,Floresta do Araguaia,81565.27996,14238
1503077,Garrafão do Norte,27692.99975,24101
1503093,Goianésia do Pará,43964.92643,22313
1503101,Gurupá,37026.34207,22966
1503200,Igarapé-Açu,49827.65998,32237
1503309,Igarapé-Miri,43770.74801,52260
1503408,Inhangapi,12097.6058,7649
1503457,Ipixuna do Pará,105925.1007,24631
1503507,Irituia,34338.11344,30537
1503606,Itaituba,142467.8893,94674
1503705,Itupiranga,60978.18632,48981
1503754,Jacareacanga,17846.69244,23563
1503804,Jacundá,57955.66973,40208
1503903,Juruti,37445.96247,30944
1504000,Limoeiro do Ajuru,21974.0809,19465
1504059,Mãe do Rio,54274.60275,25471
1504109,Magalhães Barata,7721.844118,7681
1504208,Marabá,479159.1909,166602
1504307,Maracanã,29225.12985,27507
1504406,Marapanim,28360.79507,24570
1504422,Marituba,91205.69037,73264
1504455,Medicilândia,144742.2237,21325
1504505,Melgaço,18017.04667,20855
1504604,Mocajuba,33895.33251,20477
