"","NUMERO_PARTIDO","DESPESA_MAX_CAMPANHA","SIGLA_PARTIDO","SIGLA_UF","DESC_SIT_TOT_TURNO"
"1",13,2400000,"PT","AC","ELEITO"
"2",26,300000,"PAN","AC","NÃO ELEITO"
"3",27,500000,"PSDC","AC","NÃO ELEITO"
"4",56,300000,"PRONA","AC","NÃO ELEITO"
"5",50,100000,"PSOL","AC","NÃO ELEITO"
"6",23,1800000,"PPS","AC","NÃO ELEITO"
"7",45,2000000,"PSDB","AC","NÃO ELEITO"
"8",28,3000000,"PRTB","AL","NÃO ELEITO"
"9",19,5000000,"PTN","AL","NÃO ELEITO"
"10",27,1000000,"PSDC","AL","NÃO ELEITO"
"11",26,500000,"PAN","AL","NÃO ELEITO"
"12",14,16000000,"PTB","AL","NÃO ELEITO"
"13",13,1500000,"PT","AL","NÃO ELEITO"
"14",50,300000,"PSOL","AL","NÃO ELEITO"
"15",45,20000000,"PSDB","AL","ELEITO"
"16",12,3950000,"PDT","AP","ELEITO"
"17",50,300000,"PSOL","AP","NÃO ELEITO"
"18",13,900000,"PT","AP","NÃO ELEITO"
"19",31,260000,"PHS","AP","NÃO ELEITO"
"20",45,981000,"PSDB","AP","NÃO ELEITO"
"21",40,2800000,"PSB","AP","NÃO ELEITO"
"22",26,700000,"PAN","AP","NÃO ELEITO"
"23",25,8000000,"PFL","AM","NÃO ELEITO"
"24",45,7000000,"PSDB","AM","NÃO ELEITO"
"25",15,10000000,"PMDB","AM","ELEITO"
"26",16,20000,"PSTU","AM","NÃO ELEITO"
"27",29,30000,"PCO","AM","NÃO ELEITO"
"28",12,500000,"PDT","AM","NÃO ELEITO"
"29",27,840000,"PSDC","AM","NÃO ELEITO"
"30",27,1000000,"PSDC","BA","NÃO ELEITO"
"31",29,30000,"PCO","BA","NÃO ELEITO"
"32",50,100000,"PSOL","BA","NÃO ELEITO"
"33",13,12000000,"PT","BA","ELEITO"
"34",25,10800000,"PFL","BA","NÃO ELEITO"
