Ano;Sigla;Codigo;Estado;Domicilios com agua potavel;Domicilios com instalacao adequada de esgoto;PEA;Taxa de Desemprego;Coeficiente_de_Gini;# Domilicios com Extrema Pobreza;# Domilicios com Pobreza;Analfabetos mais de 25;Anos de estudo medio mais de 25
1998;AC;12;Acre;0,63;0,58;142862,00;8,5;0,57;11497,00;21952,00;5,64;6,2
1998;AL;27;Alagoas;0,66;0,24;1056178,00;12,3;0,619;148794,00;335628,00;23,64;4,2
1998;AM;13;Amazonas;0,87;0,53;743718,00;18,5;0,58;83749,00;175118,00;2,08;6,1
1998;AP;16;Amapá;0,76;0,51;137491,00;10,5;0,579;13201,00;28979,00;1,81;6
1998;BA;29;Bahia;0,6;0,34;5885493,00;8,7;0,596;661663,00;1472626,00;10,14;3,9
1998;CE;23;Ceará;0,56;0,3;2926251,00;7,3;0,618;384937,00;807589,00;14,22;4
1998;DF;53;Distrito Federal;0,96;0,92;924494,00;12,3;0,622;29750,00;77721,00;1,94;8,1
1998;ES;32;Espírito Santo;0,94;0,64;1373376,00;7,4;0,582;62768,00;168870,00;2,4;5,5
1998;GO;52;Goiás;0,88;0,35;2311014,00;8,6;0,577;78256,00;289768,00;3,3;5,3
1998;MA;21;Maranhão;0,4;0,27;2487619,00;4,5;0,605;386430,00;744146,00;13,39;3,6
1998;MG;31;Minas Gerais;0,88;0,66;7788264,00;9,1;0,57;319907,00;968206,00;2,97;5,2
1998;MS;50;Mato Grosso do Sul;0,89;0,24;978523,00;10,8;0,541;25191,00;94376,00;3,79;5,6
1998;MT;51;Mato Grosso;0,79;0,33;1156892,00;8,4;0,576;39419,00;130775,00;2,77;5,4
1998;PA;15;Pará;0,58;0,43;1364387,00;9,2;0,565;94352,00;263691,00;5,26;5,3
1998;PB;25;Paraíba;0,66;0,37;1376762,00;6,4;0,64;175641,00;383158,00;13,74;4,6
1998;PE;26;Pernambuco;0,69;0,34;3204929,00;9;0,598;368707,00;841597,00;10,87;4,6
1998;PI;22;Piauí;0,43;0,43;1148139,00;5,7;0,594;195855,00;361131,00;17,37;3,5
1998;PR;41;Paraná;0,93;0,53;4506141,00;8,4;0,567;208411,00;598602,00;2,08;5,5
1998;RJ;33;Rio de Janeiro;0,94;0,85;6214591,00;10,9;0,574;194109,00;692361,00;1,89;7
1998;RN;24;Rio Grande do Norte;0,71;0,42;1044788,00;8,1;0,598;107788,00;274732,00;14,1;4,6
