"","UF","NOME_MUNICIPIO"
"1","AC","ACRELÂNDIA"
"2","AC","ASSIS BRASIL"
"3","AC","BRASILÉIA"
"4","AC","BUJARI"
"5","AC","CAPIXABA"
"6","AC","CRUZEIRO DO SUL"
"7","AC","EPITACIOLÂNDIA"
"8","AC","FEIJÓ"
"9","AC","JORDÃO"
"10","AC","MANOEL URBANO"
"11","AC","MARECHAL THAUMATURGO"
"12","AC","MÂNCIO LIMA"
"13","AC","PLÁCIDO DE CASTRO"
"14","AC","PORTO ACRE"
"15","AC","PORTO WALTER"
"16","AC","RIO BRANCO"
"17","AC","RODRIGUES ALVES"
"18","AC","SANTA ROSA DO PURUS"
"19","AC","SENA MADUREIRA"
"20","AC","SENADOR GUIOMARD"
"21","AC","TARAUACÁ"
"22","AC","XAPURI"
"23","AL","ANADIA"
"24","AL","ARAPIRACA"
"25","AL","ATALAIA"
"26","AL","BARRA DE SANTO ANTÔNIO"
"27","AL","BARRA DE SÃO MIGUEL"
"28","AL","BATALHA"
"29","AL","BELO MONTE"
"30","AL","BELÉM"
"31","AL","BOCA DA MATA"
"32","AL","BRANQUINHA"
"33","AL","CACIMBINHAS"
"34","AL","CAJUEIRO"
"35","AL","CAMPESTRE"
"36","AL","CAMPO ALEGRE"
"37","AL","CAMPO GRANDE"
"38","AL","CANAPI"
"39","AL","CAPELA"
"40","AL","CARNEIROS"
"41","AL","CHÃ PRETA"
"42","AL","COITÉ DO NÓIA"
"43","AL","COLÔNIA LEOPOLDINA"
"44","AL","COQUEIRO SECO"
"45","AL","CORURIPE"
"46","AL","CRAÍBAS"
"47","AL","DELMIRO GOUVEIA"
"48","AL","DOIS RIACHOS"
"49","AL","ESTRELA DE ALAGOAS"
"50","AL","FEIRA GRANDE"
"51","AL","FELIZ DESERTO"
"52","AL","FLEXEIRAS"
"53","AL","GIRAU DO PONCIANO"
"54","AL","IBATEGUARA"
"55","AL","IGACI"
"56","AL","IGREJA NOVA"
"57","AL","INHAPI"
"58","AL","JACARÉ DOS HOMENS"
"59","AL","JACUÍPE"
"60","AL","JAPARATINGA"
"61","AL","JARAMATAIA"
"62","AL","JEQUIÁ DA PRAIA"
"63","AL","JOAQUIM GOMES"
"64","AL","JUNDIÁ"
"65","AL","JUNQUEIRO"
"66","AL","LAGOA DA CANOA"
"67","AL","LIMOEIRO DE ANADIA"
"68","AL","MACEIÓ"
"69","AL","MAJOR ISIDORO"
"70","AL","MAR VERMELHO"
"71","AL","MARAGOGI"
"72","AL","MARAVILHA"
"73","AL","MARECHAL DEODORO"
"74","AL","MARIBONDO"
"75","AL","MATA GRANDE"
"76","AL","MATRIZ DE CAMARAGIBE"
"77","AL","MESSIAS"
"78","AL","MINADOR DO NEGRÃO"
"79","AL","MONTEIRÓPOLIS"
"80","AL","MURICI"
"81","AL","NOVO LINO"
"82","AL","OLHO D'ÁGUA DAS FLORES"
"83","AL","OLHO D'ÁGUA DO CASADO"
"84","AL","OLHO D'ÁGUA GRANDE"
"85","AL","OLIVENÇA"
"86","AL","OURO BRANCO"
"87","AL","PALESTINA"
"88","AL","PALMEIRA DOS ÍNDIOS"
"89","AL","PARICONHA"
"90","AL","PARIPUEIRA"
"91","AL","PASSO DE CAMARAGIBE"
"92","AL","PAULO JACINTO"
"93","AL","PENEDO"
"94","AL","PIAÇABUÇU"
"95","AL","PILAR"
"96","AL","PINDOBA"
"97","AL","PIRANHAS"
"98","AL","PORTO CALVO"
"99","AL","PORTO DE PEDRAS"
"100","AL","PORTO REAL DO COLÉGIO"
"101","AL","POÇO DAS TRINCHEIRAS"
"102","AL","PÃO DE AÇÚCAR"
"103","AL","QUEBRANGULO"
"104","AL","RIO LARGO"
"105","AL","ROTEIRO"
"106","AL","SANTA LUZIA DO NORTE"
"107","AL","SANTANA DO IPANEMA"
"108","AL","SANTANA DO MUNDAÚ"
"109","AL","SATUBA"
"110","AL","SENADOR RUI PALMEIRA"
"111","AL","SÃO BRÁS"
"112","AL","SÃO JOSÉ DA LAJE"
"113","AL","SÃO JOSÉ DA TAPERA"
"114","AL","SÃO LUÍS DO QUITUNDE"
"115","AL","SÃO MIGUEL DOS CAMPOS"
"116","AL","SÃO MIGUEL DOS MILAGRES"
"117","AL","SÃO SEBASTIÃO"
"118","AL","TANQUE D'ARCA"
"119","AL","TAQUARANA"
"120","AL","TEOTÔNIO VILELA"
"121","AL","TRAIPU"
"122","AL","UNIÃO DOS PALMARES"
"123","AL","VIÇOSA"
"124","AL","ÁGUA BRANCA"
"125","AM","ALVARÃES"
"126","AM","AMATURÁ"
"127","AM","ANAMÃ"
"128","AM","ANORI"
"129","AM","APUÍ"
"130","AM","ATALAIA DO NORTE"
"131","AM","AUTAZES"
"132","AM","BARCELOS"
"133","AM","BARREIRINHA"
"134","AM","BENJAMIN CONSTANT"
"135","AM","BERURI"
"136","AM","BOA VISTA DO RAMOS"
"137","AM","BOCA DO ACRE"
"138","AM","BORBA"
"139","AM","CAAPIRANGA"
"140","AM","CANUTAMA"
"141","AM","CARAUARI"
"142","AM","CAREIRO"
"143","AM","CAREIRO DA VÁRZEA"
"144","AM","COARI"
"145","AM","CODAJÁS"
"146","AM","EIRUNEPÉ"
"147","AM","ENVIRA"
"148","AM","FONTE BOA"
"149","AM","GUAJARÁ"
"150","AM","HUMAITÁ"
"151","AM","IPIXUNA"
"152","AM","IRANDUBA"
"153","AM","ITACOATIARA"
"154","AM","ITAMARATI"
"155","AM","ITAPIRANGA"
"156","AM","JAPURÁ"
"157","AM","JURUÁ"
"158","AM","JUTAÍ"
"159","AM","LÁBREA"
"160","AM","MANACAPURU"
"161","AM","MANAQUIRI"
"162","AM","MANAUS"
"163","AM","MANICORÉ"
"164","AM","MARAÃ"
"165","AM","MAUÉS"
"166","AM","NHAMUNDÁ"
"167","AM","NOVA OLINDA DO NORTE"
"168","AM","NOVO AIRÃO"
"169","AM","NOVO ARIPUANÃ"
"170","AM","PARINTINS"
"171","AM","PAUINI"
"172","AM","PRESIDENTE FIGUEIREDO"
"173","AM","RIO PRETO DA EVA"
"174","AM","SANTA ISABEL DO RIO NEGRO"
"175","AM","SANTO ANTÔNIO DO IÇÁ"
"176","AM","SILVES"
"177","AM","SÃO GABRIEL DA CACHOEIRA"
"178","AM","SÃO PAULO DE OLIVENÇA"
"179","AM","SÃO SEBASTIÃO DO UATUMÃ"
"180","AM","TABATINGA"
"181","AM","TAPAUÁ"
"182","AM","TEFÉ"
"183","AM","TONANTINS"
"184","AM","UARINI"
"185","AM","URUCARÁ"
"186","AM","URUCURITUBA"
"187","AP","AMAPÁ"
"188","AP","CALÇOENE"
"189","AP","CUTIAS"
"190","AP","FERREIRA GOMES"
"191","AP","ITAUBAL"
"192","AP","LARANJAL DO JARI"
"193","AP","MACAPÁ"
"194","AP","MAZAGÃO"
"195","AP","OIAPOQUE"
"196","AP","PEDRA BRANCA DO AMAPARI"
"197","AP","PORTO GRANDE"
"198","AP","PRACUÚBA"
"199","AP","SANTANA"
"200","AP","SERRA DO NAVIO"
"201","AP","TARTARUGALZINHO"
"202","AP","VITÓRIA DO JARI"
"203","BA","ABARÉ"
"204","BA","ABAÍRA"
"205","BA","ACAJUTIBA"
"206","BA","ADUSTINA"
"207","BA","AIQUARA"
"208","BA","ALAGOINHAS"
"209","BA","ALCOBAÇA"
"210","BA","ALMADINA"
"211","BA","AMARGOSA"
"212","BA","AMÉLIA RODRIGUES"
"213","BA","AMÉRICA DOURADA"
"214","BA","ANAGÉ"
"215","BA","ANDARAÍ"
"216","BA","ANDORINHA"
"217","BA","ANGICAL"
"218","BA","ANGUERA"
"219","BA","ANTAS"
"220","BA","ANTÔNIO CARDOSO"
"221","BA","ANTÔNIO GONÇALVES"
"222","BA","APORÁ"
"223","BA","APUAREMA"
"224","BA","ARACATU"
"225","BA","ARACI"
"226","BA","ARAMARI"
"227","BA","ARATACA"
"228","BA","ARATUÍPE"
"229","BA","ARAÇÁS"
"230","BA","AURELINO LEAL"
"231","BA","BAIANÓPOLIS"
"232","BA","BAIXA GRANDE"
"233","BA","BANZAÊ"
"234","BA","BARRA"
"235","BA","BARRA DA ESTIVA"
"236","BA","BARRA DO CHOÇA"
"237","BA","BARRA DO MENDES"
"238","BA","BARRA DO ROCHA"
"239","BA","BARREIRAS"
"240","BA","BARRO ALTO"
"241","BA","BARRO PRETO"
"242","BA","BARROCAS"
"243","BA","BELMONTE"
"244","BA","BELO CAMPO"
"245","BA","BIRITINGA"
"246","BA","BOA NOVA"
"247","BA","BOA VISTA DO TUPIM"
"248","BA","BOM JESUS DA LAPA"
"249","BA","BOM JESUS DA SERRA"
"250","BA","BONINAL"
"251","BA","BONITO"
"252","BA","BOQUIRA"
"253","BA","BOTUPORÃ"
"254","BA","BREJOLÂNDIA"
"255","BA","BREJÕES"
"256","BA","BROTAS DE MACAÚBAS"
"257","BA","BRUMADO"
"258","BA","BUERAREMA"
"259","BA","BURITIRAMA"
"260","BA","CAATIBA"
"261","BA","CABACEIRAS DO PARAGUAÇU"
"262","BA","CACHOEIRA"
"263","BA","CACULÉ"
"264","BA","CAEM"
"265","BA","CAETANOS"
"266","BA","CAETITÉ"
"267","BA","CAFARNAUM"
"268","BA","CAIRU"
"269","BA","CALDEIRÃO GRANDE"
"270","BA","CAMACAN"
"271","BA","CAMAMU"
"272","BA","CAMAÇARI"
"273","BA","CAMPO ALEGRE DE LOURDES"
"274","BA","CAMPO FORMOSO"
"275","BA","CANARANA"
"276","BA","CANAVIEIRAS"
"277","BA","CANDEAL"
"278","BA","CANDEIAS"
"279","BA","CANDIBA"
"280","BA","CANSANÇÃO"
"281","BA","CANUDOS"
"282","BA","CANÁPOLIS"
"283","BA","CAPELA DO ALTO ALEGRE"
"284","BA","CAPIM GROSSO"
"285","BA","CARAVELAS"
"286","BA","CARAÍBAS"
"287","BA","CARDEAL DA SILVA"
"288","BA","CARINHANHA"
"289","BA","CASA NOVA"
"290","BA","CASTRO ALVES"
"291","BA","CATOLÂNDIA"
"292","BA","CATU"
"293","BA","CATURAMA"
"294","BA","CENTRAL"
"295","BA","CHORROCHÓ"
"296","BA","CIPÓ"
"297","BA","COARACI"
"298","BA","COCOS"
"299","BA","CONCEIÇÃO DA FEIRA"
"300","BA","CONCEIÇÃO DO ALMEIDA"
"301","BA","CONCEIÇÃO DO COITÉ"
"302","BA","CONCEIÇÃO DO JACUÍPE"
"303","BA","CONDE"
"304","BA","CONDEÚBA"
"305","BA","CONTENDAS DO SINCORÁ"
"306","BA","CORAÇÃO DE MARIA"
"307","BA","CORDEIROS"
"308","BA","CORIBE"
"309","BA","CORONEL JOÃO SÁ"
"310","BA","CORRENTINA"
"311","BA","COTEGIPE"
"312","BA","CRAVOLÂNDIA"
"313","BA","CRISTÓPOLIS"
"314","BA","CRISÓPOLIS"
"315","BA","CRUZ DAS ALMAS"
"316","BA","CURAÇÁ"
"317","BA","CÂNDIDO SALES"
"318","BA","CÍCERO DANTAS"
"319","BA","DIAS D'ÁVILA"
"320","BA","DOM BASÍLIO"
"321","BA","DOM MACEDO COSTA"
"322","BA","DÁRIO MEIRA"
"323","BA","ELÍSIO MEDRADO"
"324","BA","ENCRUZILHADA"
"325","BA","ENTRE RIOS"
"326","BA","ESPLANADA"
"327","BA","EUCLIDES DA CUNHA"
"328","BA","EUNÁPOLIS"
"329","BA","FEIRA DA MATA"
"330","BA","FEIRA DE SANTANA"
"331","BA","FILADÉLFIA"
"332","BA","FIRMINO ALVES"
"333","BA","FLORESTA AZUL"
"334","BA","FORMOSA DO RIO PRETO"
"335","BA","FÁTIMA"
"336","BA","GANDU"
"337","BA","GAVIÃO"
"338","BA","GENTIO DO OURO"
"339","BA","GLÓRIA"
"340","BA","GONGOGI"
"341","BA","GOVERNADOR MANGABEIRA"
"342","BA","GUAJERU"
"343","BA","GUANAMBI"
"344","BA","GUARATINGA"
"345","BA","HELIÓPOLIS"
"346","BA","IAÇU"
"347","BA","IBIASSUCÊ"
"348","BA","IBICARAÍ"
"349","BA","IBICOARA"
"350","BA","IBICUÍ"
"351","BA","IBIPEBA"
"352","BA","IBIPITANGA"
"353","BA","IBIQUERA"
"354","BA","IBIRAPITANGA"
"355","BA","IBIRAPUÃ"
"356","BA","IBIRATAIA"
"357","BA","IBITIARA"
