"","NUMERO_PARTIDO","DESPESA_MAX_CAMPANHA","NOME_URNA_CANDIDATO","DESC_SIT_TOT_TURNO"
"1",25,3000000,"BOCALOM","NÃO ELEITO"
"2",13,-1,"TIÃO VIANA","ELEITO"
"3",45,5000000,"MÁRCIO BITTAR","2º TURNO"
"4",50,100000,"ANTONIO ROCHA","NÃO ELEITO"
"5",45,-1,"MÁRCIO BITTAR","NÃO ELEITO"
"6",13,7850000,"TIÃO VIANA","2º TURNO"
"7",50,600000,"MÁRIO AGRA","NÃO ELEITO"
"8",21,300000,"GOLBERY LESSA","NÃO ELEITO"
"9",51,600000,"CORONEL GOULART","NÃO ELEITO"
"10",19,0,"LUCIANO BALBINO","NÃO ELEITO"
"11",45,40000000,"JULIO CEZAR","NÃO ELEITO"
"12",11,30000000,"BIU BENEDITO DE LIRA","NÃO ELEITO"
"13",15,59000000,"RENAN FILHO","ELEITO"
"14",36,10000000,"JOATHAS ALBUQUERQUE","NÃO ELEITO"
"15",28,-1,"JEFERSON PIONES","#NULO#"
"16",12,-1,"WALDEZ","ELEITO"
"17",40,6800000,"CAMILO CAPIBERIBE","2º TURNO"
"18",70,5000000,"BRUNO MINEIRO","NÃO ELEITO"
"19",40,-1,"CAMILO CAPIBERIBE","NÃO ELEITO"
"20",16,50000,"GENIVAL CRUZ","NÃO ELEITO"
"21",23,2000000,"JORGE AMANAJAS","NÃO ELEITO"
"22",55,3000000,"LUCAS BARRETO","NÃO ELEITO"
"23",12,4960000,"WALDEZ","2º TURNO"
"24",21,200000,"DÉCIO GOMES","NÃO ELEITO"
"25",33,2000000,"CHICO PRETO","NÃO ELEITO"
"26",16,120000,"HERBERT AMAZONAS","NÃO ELEITO"
"27",54,16217864,"JARDEL","NÃO ELEITO"
"28",40,16217864,"MARCELO SERAFIM","NÃO ELEITO"
"29",12,-1,"AMAZONINO MENDES","#NULO#"
"30",50,900000,"ABEL ALVES","NÃO ELEITO"
"31",21,120000,"LUIZ NAVARRO","NÃO ELEITO"
"32",15,16217864,"EDUARDO BRAGA","2º TURNO"
"33",12,16217864,"AMAZONINO MENDES","2º TURNO"
"34",15,-1,"EDUARDO BRAGA","#NULO#"
"35",31,16217864,"WILKER BARRETO","NÃO ELEITO"
"36",15,-1,"EDUARDO BRAGA","NÃO ELEITO"
"37",18,16217864,"LUIZ CASTRO","NÃO ELEITO"
"38",11,16217864,"REBECCA GARCIA","NÃO ELEITO"
"39",40,5000000,"MARCELO RAMOS","NÃO ELEITO"
"40",90,-1,"JOSÉ MELO","ELEITO"
"41",13,16217864,"JOSÉ RICARDO","NÃO ELEITO"
"42",90,23300000,"JOSÉ MELO","2º TURNO"
"43",15,25000000,"EDUARDO BRAGA","2º TURNO"
"44",23,16217864,"LILIANE ARAÚJO","NÃO ELEITO"
"45",16,150000,"RENATA MALLET","NÃO ELEITO"
"46",13,65000000,"RUI COSTA","ELEITO"
"47",40,20000000,"LIDICE DA MATA","NÃO ELEITO"
"48",50,500000,"MARCOS MENDES","NÃO ELEITO"
"49",28,10000000,"DA LUZ","NÃO ELEITO"
"50",25,38000000,"PAULO SOUTO","NÃO ELEITO"
"51",13,64000000,"CAMILO","2º TURNO"
"52",15,67000000,"EUNÍCIO","2º TURNO"
"53",15,-1,"EUNÍCIO","NÃO ELEITO"
"54",40,9500000,"ELIANE NOVAIS","NÃO ELEITO"
"55",13,-1,"CAMILO","ELEITO"
"56",50,300000,"AILTON LOPES","NÃO ELEITO"
"57",22,22000000,"JOFRAN FREJAT","2º TURNO"
"58",40,-1,"ROLLEMBERG","ELEITO"
"59",50,950000,"TONINHO DO PSOL","NÃO ELEITO"
"60",13,70000000,"AGNELO QUEIROZ","NÃO ELEITO"
"61",29,50000,"PERCI MARRARA","NÃO ELEITO"
"62",22,-1,"JOFRAN FREJAT","NÃO ELEITO"
"63",40,30000000,"ROLLEMBERG","2º TURNO"
"64",45,20000000,"LUIZ PITIMAN","NÃO ELEITO"
"65",21,100000,"MAURO RIBEIRO","NÃO ELEITO"
"66",15,8500000,"PAULO HARTUNG","ELEITO"
"67",50,400000,"CAMILA VALADÃO","NÃO ELEITO"
"68",13,5000000,"ROBERTO CARLOS","NÃO ELEITO"
"69",40,16000000,"CASAGRANDE","NÃO ELEITO"
"70",40,25000000,"VANDERLAN CARDOSO","NÃO ELEITO"
"71",15,35000000,"IRIS REZENDE","NÃO ELEITO"
"72",27,15000000,"ALEXANDRE MAGALHÃES","NÃO ELEITO"
"73",45,26000000,"MARCONI PERILLO","ELEITO"
"74",15,-1,"IRIS REZENDE","NÃO ELEITO"
"75",13,20000000,"ANTÔNIO GOMIDE","NÃO ELEITO"
"76",21,200000,"MARTA JANE","NÃO ELEITO"
"77",45,-1,"MARCONI PERILLO","ELEITO"
"78",50,200000,"PROFESSOR WESLEI","NÃO ELEITO"
"79",50,500000,"PEDROSA","NÃO ELEITO"
"80",16,35000,"SAULO ARCANGELI","NÃO ELEITO"
"81",54,4000000,"ZELUIS LAGO","NÃO ELEITO"
"82",21,50000,"PROF.JOSIVALDO","NÃO ELEITO"
"83",65,10000000,"FLAVIO DINO","ELEITO"
"84",15,50000000,"LOBÃO FILHO","NÃO ELEITO"
"85",55,35000000,"JANETE RIVA","NÃO ELEITO"
"86",13,30000000,"LÚDIO CABRAL","NÃO ELEITO"
"87",50,1000000,"DR. JOSÉ ROBERTO","NÃO ELEITO"
"88",31,10000000,"MUVUCA","NÃO ELEITO"
"89",12,34000000,"PEDRO TAQUES","ELEITO"
"90",50,250000,"PROFESSOR SIDNEY MELO","NÃO ELEITO"
"91",45,-1,"REINALDO AZAMBUJA","ELEITO"
"92",13,-1,"DELCÍDIO","NÃO ELEITO"
"93",45,35000000,"REINALDO AZAMBUJA","2º TURNO"
"94",16,161616,"PROF. MONJE","NÃO ELEITO"
"95",13,28000000,"DELCÍDIO","2º TURNO"
"96",11,11000000,"EVANDER VENDRAMINI","NÃO ELEITO"
"97",15,30000000,"NELSINHO TRAD","NÃO ELEITO"
"98",31,-1,"ANDRE ALVES","#NULO#"
"99",50,300000,"FIDÉLIS","NÃO ELEITO"
"100",29,30000,"CLEIDE DONÁRIA","NÃO ELEITO"
"101",45,60000000,"PIMENTA DA VEIGA","NÃO ELEITO"
"102",13,42000000,"FERNANDO PIMENTEL","ELEITO"
"103",21,500000,"PROFESSOR TULIO LOPES","NÃO ELEITO"
"104",27,1000000,"EDUARDO FERREIRA","NÃO ELEITO"
"105",40,38000000,"TARCISIO DELGADO","NÃO ELEITO"
"106",45,-1,"SIMÃO JATENE","ELEITO"
"107",45,18000000,"SIMÃO JATENE","2º TURNO"
"108",21,100000,"MARCO ANTONIO","NÃO ELEITO"
"109",50,1000000,"MARCO CARRERA","NÃO ELEITO"
"110",43,5000000,"ZE CARLOS DO PV","NÃO ELEITO"
"111",15,20000000,"HELDER BARBALHO","2º TURNO"
"112",28,20000000,"ELTON BRAGA","NÃO ELEITO"
"113",15,-1,"HELDER BARBALHO","NÃO ELEITO"
"114",50,500000,"TÁRCIO","NÃO ELEITO"
"115",45,-1,"CASSIO CUNHA LIMA","NÃO ELEITO"
"116",16,40000,"ANTONIO RADICAL","NÃO ELEITO"
"117",40,25000000,"RICARDO COUTINHO","2º TURNO"
"118",40,-1,"RICARDO COUTINHO","ELEITO"
"119",45,18000000,"CASSIO CUNHA LIMA","2º TURNO"
"120",15,25000000,"VITAL","NÃO ELEITO"
"121",90,10000000,"MAJOR FÁBIO","NÃO ELEITO"
"122",50,500000,"BERNARDO PILOTTO","NÃO ELEITO"
"123",15,30000000,"REQUIAO","NÃO ELEITO"
"124",36,1000000,"TULIO BANDEIRA","NÃO ELEITO"
"125",28,2000000,"GEONISIO MARINHO","NÃO ELEITO"
"126",44,2500000,"OGIER BUCHI","NÃO ELEITO"
"127",45,36000000,"BETO RICHA","ELEITO"
"128",13,36000000,"GLEISI HOFFMANN","NÃO ELEITO"
"129",16,25000,"RODRIGO TOMAZINI","NÃO ELEITO"
"130",21,120000,"MIGUEL ANACLETO","NÃO ELEITO"
"131",29,25000,"PANTALEÃO","NÃO ELEITO"
"132",16,50000,"JAIR PEDRO","NÃO ELEITO"
"133",40,19500000,"PAULO CÂMARA","ELEITO"
"134",50,350000,"ZÉ GOMES","NÃO ELEITO"
"135",14,30000000,"ARMANDO MONTEIRO","NÃO ELEITO"
"136",13,5000000,"WELLINGTON DIAS","ELEITO"
"137",54,20000000,"NETO SAMBAIBA","NÃO ELEITO"
"138",20,3000000,"MÃO SANTA","NÃO ELEITO"
"139",16,100000,"DANIEL SOLON","NÃO ELEITO"
"140",15,20000000,"ZÉ FILHO","NÃO ELEITO"
"141",50,100000,"MAKLANDEL","NÃO ELEITO"
"142",29,1000,"LOURDES MELO","NÃO ELEITO"
"143",21,10000,"NEY NUNES","NÃO ELEITO"
"144",50,750000,"TARCISIO MOTTA","NÃO ELEITO"
"145",13,60000000,"LINDBERG FARIAS","NÃO ELEITO"
"146",22,25000000,"GAROTINHO","NÃO ELEITO"
"147",15,-1,"LUIZ FERNANDO PEZÃO","ELEITO"
"148",10,15000000,"MARCELO CRIVELLA","2º TURNO"
"149",16,150000,"DAYSE OLIVEIRA","NÃO ELEITO"
"150",15,85000000,"LUIZ FERNANDO PEZÃO","2º TURNO"
"151",10,-1,"MARCELO CRIVELLA","NÃO ELEITO"
"152",15,-1,"HENRIQUE ALVES","NÃO ELEITO"
"153",50,200000,"PROFESSOR ROBÉRIO PAULINO","NÃO ELEITO"
"154",55,18000000,"ROBINSON FARIA","2º TURNO"
"155",17,1500000,"ARAKEN","NÃO ELEITO"
"156",55,-1,"ROBINSON FARIA","ELEITO"
"157",15,40000000,"HENRIQUE ALVES","2º TURNO"
"158",16,60000,"SIMONE DUTRA","NÃO ELEITO"
"159",28,2000000,"ESTIVALETE","NÃO ELEITO"
"160",12,10000000,"VIEIRA DA CUNHA","NÃO ELEITO"
"161",13,15000000,"TARSO GENRO","2º TURNO"
"162",21,15000,"HUMBERTO CARVALHO","NÃO ELEITO"
"163",15,-1,"JOSÉ IVO SARTORI","ELEITO"
"164",15,15000000,"JOSÉ IVO SARTORI","2º TURNO"
"165",11,10500000,"ANA AMELIA LEMOS","NÃO ELEITO"
"166",50,400000,"ROBERTO ROBAINA","NÃO ELEITO"
"167",13,-1,"TARSO GENRO","NÃO ELEITO"
"168",33,-1,"JOAO CARLOS RODRIGUES","#NULO#"
"169",13,10000000,"PADRE TON","NÃO ELEITO"
"170",50,500000,"PIMENTA DE RONDONIA","NÃO ELEITO"
"171",45,25000000,"EXPEDITO JÚNIOR","2º TURNO"
"172",45,-1,"EXPEDITO JÚNIOR","NÃO ELEITO"
"173",15,-1,"CONFUCIO MOURA","ELEITO"
"174",15,25000000,"CONFUCIO MOURA","2º TURNO"
"175",22,20000000,"JAQUELINE CASSOL","NÃO ELEITO"
"176",40,-1,"CHICO RODRIGUES","NÃO ELEITO"
"177",40,10000000,"CHICO RODRIGUES","2º TURNO"
"178",11,-1,"SUELY CAMPOS","ELEITO"
"179",11,2000000,"SUELY CAMPOS","2º TURNO"
"180",50,50000,"HAMILTON","NÃO ELEITO"
"181",13,15000000,"ANGELA PORTELA","NÃO ELEITO"
"182",44,12000000,"ELPÍDIO NEVES","NÃO ELEITO"
"183",50,500000,"AFRÂNIO BOPPRÉ","NÃO ELEITO"
"184",45,30000000,"PAULO BAUER","NÃO ELEITO"
"185",54,2000000,"JANAINA DEITOS","NÃO ELEITO"
"186",21,7000,"MARLENE SOCCAS","NÃO ELEITO"
"187",13,10000000,"CLAUDIO VIGNATTI","NÃO ELEITO"
"188",16,25000,"GILMAR SALGADO","NÃO ELEITO"
"189",55,30000000,"RAIMUNDO COLOMBO","ELEITO"
"190",21,100000,"WAGNER FARIAS","NÃO ELEITO"
"191",45,90000000,"GERALDO ALCKMIN","ELEITO"
"192",29,50000,"RAIMUNDO SENA","NÃO ELEITO"
"193",13,92000000,"PADILHA","NÃO ELEITO"
"194",50,1000000,"MARINGONI","NÃO ELEITO"
"195",28,6000000,"WALTER CIGLIONI","NÃO ELEITO"
"196",31,20000000,"LAÉRCIO BENKO","NÃO ELEITO"
"197",43,20000000,"GILBERTO NATALINI","NÃO ELEITO"
"198",15,95000000,"SKAF","NÃO ELEITO"
"199",19,1000000,"BETINHO","NÃO ELEITO"
"200",20,10000000,"EDUARDO AMORIM","NÃO ELEITO"
"201",50,50000,"PROF. SÔNIA MEIRE","NÃO ELEITO"
"202",15,10000000,"JACKSON BARRETO","ELEITO"
"203",54,20000000,"AIRTON DA CGTB","NÃO ELEITO"
"204",50,4449000,"EULA ANGELIM","NÃO ELEITO"
"205",28,-1,"LUÍS CLÁUDIO","#NULO#"
"206",15,30000000,"MARCELO MIRANDA","ELEITO"
"207",77,20000000,"SANDOVAL CARDOSO","NÃO ELEITO"
"208",90,16000000,"ATAÍDES OLIVEIRA","NÃO ELEITO"
"209",21,50000,"POTENGY","NÃO ELEITO"
