"","NUMERO_PARTIDO","DESPESA_MAX_CAMPANHA","NOME_URNA_CANDIDATO","COD_SIT_TOT_TURNO"
"1",25,800000,"SABÁ MANCHINERY",4
"2",13,1250000,"LENILDA DE SOUZA",5
"3",25,800000,"JOAQUIM LYRA",4
"4",45,2000000,"MAJOR ROCHA",2
"5",11,2000000,"PENINHA",5
"6",13,-1,"DRª GRACE",-1
"7",43,800000,"JOICE NOBRE",4
"8",25,800000,"PROFESSORA TEREZINHA",4
"9",13,1250000,"CILENE",5
"10",13,1250000,"MAJOR ARAÚJO",5
"11",43,800000,"LYRA XAPURI",4
"12",23,3000000,"CORONEL DEODATO",5
"13",70,3000000,"FRANCISCO",5
"14",70,3000000,"MIRACY",5
"15",15,2000000,"FLAVIANO MELO",2
"16",11,2000000,"DR. RIBAMAR",5
"17",11,2000000,"LEILANE RIBEIRO",5
"18",25,800000,"SAULO RIBEIRO",4
"19",50,100000,"EMERSON SANTOS",4
"20",17,800000,"MARILEIDE SERAFIM",5
"21",90,1250000,"ROBERTO DA PRINCESINHA",5
"22",31,5000000,"GRINGO SOSTER",5
"23",15,2000000,"JÉSSICA SALES",2
"24",14,1200000,"REGINA LINO",5
"25",25,800000,"PROFESSOR AUGUSTO",4
"26",55,2000000,"ZE AUGUSTO",5
"27",13,1250000,"SIBÁ MACHADO",2
"28",13,1250000,"LÉO DO PT",2
"29",54,1500000,"KENNY LOVE",5
"30",27,800000,"AFONSO",5
"31",20,2000000,"ANTÔNIA LÚCIA",5
"32",22,2000000,"ILDERLEI CORDEIRO",5
"33",10,5000000,"ALAN RICK",3
"34",33,500000,"DRA. VALDETE DE SOUZA",4
"35",13,1250000,"ANGELIM",2
"36",13,1250000,"ROSE COSTA",5
"37",44,1200000,"RAIMUNDO VAZ",5
"38",11,2000000,"VANDA MILANI",5
"39",25,800000,"SOCORRO FORMIGA",4
"40",45,2000000,"DR. EDSON",5
"41",45,2000000,"FRANCISCO NAZARENO",5
"42",11,-1,"EDMAR NEGREIROS",-1
"43",13,1250000,"AURINETE",5
"44",45,2000000,"ZÉ VIEIRA",5
"45",50,100000,"ANA MORAIS",4
"46",40,2000000,"CÉSAR MESSIAS",2
"47",55,2000000,"MARIAZINHA",5
"48",77,2000000,"LUIZ ANUTE",5
"49",25,800000,"CHICARLOS",4
"50",54,1500000,"MARIO PEIXEIRO",5
"51",19,5000000,"JUAREZ PEDROSA",5
"52",45,2000000,"LUIZETE",5
"53",11,2000000,"NETO RIBEIRO",5
"54",43,800000,"PROFª SHIRLEY TORRES",4
"55",12,1000000,"TCHÊ",5
"56",25,800000,"NORMANDO SALES",4
"57",65,1200000,"MOISÉS DINIZ",5
"58",43,800000,"HILÁRIO 'MR.BEAN'",4
"59",50,100000,"SEU GERALDO",4
"60",13,1250000,"RAIZZA CARDOSO",5
"61",11,2000000,"RONIVON SANTIAGO",5
"62",13,1250000,"IDESIO",5
"63",55,2000000,"RUY BIRICO",5
"64",55,2000000,"MARFISA",5
"65",25,5000000,"CHICO LIMA",5
"66",54,1800000,"SERGIO CABRAL",5
"67",45,6000000,"VIVIANE RAMOS",5
"68",45,6000000,"JESSYCA FERREIRA",5
"69",36,10000000,"SEVERINO DO CHAPÉU",4
"70",28,1800000,"JULIANA",5
"71",10,5000000,"ZEDEQUIAS",5
"72",40,5000000,"MAJOR PAULO NUNES",5
"73",10,5000000,"THALES NOVAES",5
"74",13,1000000,"PAULÃO",3
"75",27,5000000,"ODILON TENORIO",5
"76",27,5000000,"ALISSON CARDOSO",5
"77",14,1500000,"CORONEL IVON",5
"78",23,5000000,"MARILIA",5
"79",10,5000000,"PROFESSOR TEODORO",5
"80",11,5000000,"ARTHUR LIRA",2
"81",28,1800000,"DR JAILTON COSTA",5
"82",28,1800000,"CICERA PSICOLOGA",5
"83",15,3000000,"VÂNIA LÚCIA",5
"84",23,5000000,"REGIS CAVALCANTE",5
"85",45,6000000,"ROGERIO TEOFILO",5
"86",28,1800000,"SALUSTIANO",5
"87",15,3000000,"PEDRO GAIA",5
"88",23,-1,"MARIA ARAUJO",-1
"89",51,-1,"SARGENTO ELIEL",-1
"90",51,-1,"SARGENTO VALDEREZ",-1
"91",10,-1,"MABEL TENORIO",-1
