"","ANO_ELEICAO","SIGLA_UE","NUM_TURNO","DESCRICAO_ELEICAO","CODIGO_CARGO","DESCRICAO_CARGO","NUMERO_CANDIDATO","QTDE_VOTOS","CODIGO_MACRO","NOME_MACRO","UF","NOME_UF"
"1",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",13,123999,1,"Norte","AC","Acre"
"2",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",13,530246,1,"Norte","AM","Amazonas"
"3",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",13,116507,1,"Norte","AP","Amapá"
"4",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",13,1070416,1,"Norte","PA","Pará"
"5",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",13,283279,1,"Norte","RO","Rondônia"
"6",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",13,71952,1,"Norte","RR","Roraima"
"7",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",13,225291,1,"Norte","TO","Tocantins"
"8",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",16,366,1,"Norte","AC","Acre"
"9",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",16,5216,1,"Norte","AM","Amazonas"
"10",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",16,1134,1,"Norte","AP","Amapá"
"11",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",16,7584,1,"Norte","PA","Pará"
"12",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",16,2785,1,"Norte","RO","Rondônia"
"13",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",16,693,1,"Norte","RR","Roraima"
"14",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",16,881,1,"Norte","TO","Tocantins"
"15",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",23,43995,1,"Norte","AC","Acre"
"16",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",23,160132,1,"Norte","AM","Amazonas"
"17",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",23,34007,1,"Norte","AP","Amapá"
"18",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",23,269687,1,"Norte","PA","Pará"
"19",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",23,60663,1,"Norte","RO","Rondônia"
"20",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",23,28063,1,"Norte","RR","Roraima"
"21",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",23,46562,1,"Norte","TO","Tocantins"
"22",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",29,50,1,"Norte","AC","Acre"
"23",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",29,296,1,"Norte","AM","Amazonas"
"24",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",29,62,1,"Norte","AP","Amapá"
"25",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",29,496,1,"Norte","PA","Pará"
"26",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",29,170,1,"Norte","RO","Rondônia"
"27",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",29,140,1,"Norte","RR","Roraima"
"28",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",29,130,1,"Norte","TO","Tocantins"
"29",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",40,46229,1,"Norte","AC","Acre"
"30",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",40,249007,1,"Norte","AM","Amazonas"
"31",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",40,61026,1,"Norte","AP","Amapá"
"32",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",40,510470,1,"Norte","PA","Pará"
"33",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",40,154074,1,"Norte","RO","Rondônia"
"34",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",40,39974,1,"Norte","RR","Roraima"
"35",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",40,72256,1,"Norte","TO","Tocantins"
"36",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",45,50250,1,"Norte","AC","Acre"
"37",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",45,166145,1,"Norte","AM","Amazonas"
"38",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",45,20537,1,"Norte","AP","Amapá"
"39",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",45,673488,1,"Norte","PA","Pará"
"40",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",45,128000,1,"Norte","RO","Rondônia"
"41",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",45,19195,1,"Norte","RR","Roraima"
"42",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",45,177547,1,"Norte","TO","Tocantins"
"43",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",95,3968,1,"Norte","AC","Acre"
"44",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",95,16124,1,"Norte","AM","Amazonas"
"45",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",95,2017,1,"Norte","AP","Amapá"
"46",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",95,53119,1,"Norte","PA","Pará"
"47",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",95,14473,1,"Norte","RO","Rondônia"
"48",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",95,1944,1,"Norte","RR","Roraima"
"49",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",95,11637,1,"Norte","TO","Tocantins"
"50",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",96,21574,1,"Norte","AC","Acre"
"51",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",96,65142,1,"Norte","AM","Amazonas"
"52",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",96,12552,1,"Norte","AP","Amapá"
"53",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",96,191518,1,"Norte","PA","Pará"
"54",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",96,50012,1,"Norte","RO","Rondônia"
"55",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",96,13250,1,"Norte","RR","Roraima"
"56",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",96,89275,1,"Norte","TO","Tocantins"
"57",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",97,217,1,"Norte","PA","Pará"
"58",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",13,307751,2,"Nordeste","AL","Alagoas"
"59",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",13,2899280,2,"Nordeste","BA","Bahia"
"60",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",13,1353339,2,"Nordeste","CE","Ceará"
"61",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",13,843132,2,"Nordeste","MA","Maranhão"
"62",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",13,754329,2,"Nordeste","PB","Paraíba"
"63",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",13,1657476,2,"Nordeste","PE","Pernambuco"
"64",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",13,615576,2,"Nordeste","PI","Piauí"
"65",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",13,581544,2,"Nordeste","RN","Rio Grande do Norte"
"66",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",13,357557,2,"Nordeste","SE","Sergipe"
"67",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",16,3329,2,"Nordeste","AL","Alagoas"
"68",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",16,15847,2,"Nordeste","BA","Bahia"
"69",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",16,4456,2,"Nordeste","CE","Ceará"
"70",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",16,5985,2,"Nordeste","MA","Maranhão"
"71",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",16,3863,2,"Nordeste","PB","Paraíba"
"72",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",16,8838,2,"Nordeste","PE","Pernambuco"
"73",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",16,1935,2,"Nordeste","PI","Piauí"
"74",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",16,3720,2,"Nordeste","RN","Rio Grande do Norte"
"75",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",16,4324,2,"Nordeste","SE","Sergipe"
"76",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",23,168925,2,"Nordeste","AL","Alagoas"
"77",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",23,738949,2,"Nordeste","BA","Bahia"
"78",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",23,1529623,2,"Nordeste","CE","Ceará"
"79",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",23,455860,2,"Nordeste","MA","Maranhão"
"80",2002,"BR",1,"ELEICOES 2002",1,"PRESIDENTE",23,138789,2,"Nordeste","PB","Paraíba"
