"","DATA_GERACAO","HORA_GERACAO","ANO_ELEICAO","NUM_TURNO","DESCRICAO_ELEICAO","SIGLA_UF","SIGLA_UE","CODIGO_CARGO","DESCRICAO_CARGO","TIPO_LEGENDA","NUMERO_PARTIDO","SIGLA_PARTIDO","NOME_PARTIDO","SIGLA_COLIGACAO","NOME_COLIGACAO","COMPOSICAO_COLIGACAO","SEQUENCIAL_COLIGACAO"
"1","16/07/2017",14:36:30,2010,1,"ELEICOES","BR","BR",1,"PRESIDENTE","PARTIDO ISOLADO",16,"PSTU","PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO","PSTU","PSTU","PSTU",1016
"2","16/07/2017",14:36:30,2010,1,"ELEICOES","BR","BR",1,"PRESIDENTE","PARTIDO ISOLADO",21,"PCB","PARTIDO COMUNISTA BRASILEIRO","PCB","PCB","PCB",1021
"3","16/07/2017",14:36:30,2010,1,"ELEICOES","BR","BR",1,"PRESIDENTE","PARTIDO ISOLADO",27,"PSDC","PARTIDO SOCIAL DEMOCRATA CRISTÃO","PSDC","PSDC","PSDC",1027
"4","16/07/2017",14:36:30,2010,1,"ELEICOES","BR","BR",1,"PRESIDENTE","PARTIDO ISOLADO",28,"PRTB","PARTIDO RENOVADOR TRABALHISTA BRASILEIRO","PRTB","PRTB","PRTB",1028
"5","16/07/2017",14:36:30,2010,1,"ELEICOES","BR","BR",1,"PRESIDENTE","PARTIDO ISOLADO",29,"PCO","PARTIDO DA CAUSA OPERÁRIA","PCO","PCO","PCO",1029
"6","16/07/2017",14:36:30,2010,1,"ELEICOES","BR","BR",1,"PRESIDENTE","PARTIDO ISOLADO",43,"PV","PARTIDO VERDE","PV","PV","PV",1043
"7","16/07/2017",14:36:30,2010,1,"ELEICOES","BR","BR",1,"PRESIDENTE","PARTIDO ISOLADO",50,"PSOL","PARTIDO SOCIALISMO E LIBERDADE","PSOL","PSOL","PSOL",1050
"8","16/07/2017",14:36:30,2010,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",10,"PRB","PARTIDO REPUBLICANO BRASILEIRO","#NE#","PARA O BRASIL SEGUIR MUDANDO","PC do B / PDT / PMDB / PR / PRB / PSB / PSC / PT / PTC / PTN",1100
"9","16/07/2017",14:36:30,2010,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",12,"PDT","PARTIDO DEMOCRÁTICO TRABALHISTA","#NE#","PARA O BRASIL SEGUIR MUDANDO","PC do B / PDT / PMDB / PR / PRB / PSB / PSC / PT / PTC / PTN",1100
"10","16/07/2017",14:36:30,2010,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",13,"PT","PARTIDO DOS TRABALHADORES","#NE#","PARA O BRASIL SEGUIR MUDANDO","PC do B / PDT / PMDB / PR / PRB / PSB / PSC / PT / PTC / PTN",1100
